Jennet Automobile Repair Center,6.872679,79.995530,Auto Garage,Shop & Service,1,1
AP Lanka (Pvt) Ltd,6.870721,80.031640,Factory,Professional & Other Places,1,1
IDM Nations Campus Lanka (Pvt) Ltd,6.867736,79.862110,University,College & University,11,1
ASM Digital Studio,6.870240,79.860464,Photography Studio,Shop & Service,28,1
M3 Production,6.870131,79.860316,Photography Studio,Shop & Service,6,1
P Ruben Pieris Road,6.864543,79.870155,Road,Travel & Transport,2,1
Videsh Ambegoda photography,6.867903,79.869316,Building,Professional & Other Places,1,1
Magic Light Photography,6.865605,79.895128,Photography Studio,Shop & Service,3,1
Wish Fertility Clinic,6.866076,79.912834,Maternity Clinic,Professional & Other Places,5,1
Sri Lanka Building Society,6.865345,79.911697,Office,Professional & Other Places,10,1
Embuldeniya Bus Stop,6.867971,79.912708,Bus Stop,Travel & Transport,1,1
Mystery Hub,6.867729,79.909768,Design Studio,Shop & Service,13,1
kottawa north dharmapala vidyalaya,6.865988,79.958254,College Cricket Pitch,College & University,1,1
St.Catherine Estate,6.865333,79.971244,Garden,Outdoors & Recreation,1,1
Deshika Plastics,6.868509,80.079233,Factory,Professional & Other Places,2,1
Albert Place,6.858363,79.861170,Road,Travel & Transport,1,1
Hari's Roof Top,6.858075,79.862680,Other Nightlife,Nightlife Spot,5,1
Eser Marketing,6.862307,79.861591,Sporting Goods Shop,Shop & Service,2,1
Yahaluwo Dehiwela,6.856497,79.860718,Beach Bar,Nightlife Spot,1,1
IIT - Terrace,6.862424,79.859827,Student Center,College & University,4,1
Institute of HNDIT,6.856888,79.869247,College Academic Building,College & University,1,1
HCF South Asia Base,6.859570,79.866928,Office,Professional & Other Places,28,1
"02,athapaththu Rd, Dehiwala",6.859549,79.868443,Residential Building (Apartment / Condo),Residence,33,1
Hessonite Home,6.859254,79.866371,Residential Building (Apartment / Condo),Residence,88,1
Anderson Grounds,6.859662,79.881670,Soccer Stadium,Arts & Entertainment,1,1
MAHENDRA ENGINEERING,6.857687,79.890870,Office,Professional & Other Places,1,1
Kamal Mortors,6.859282,79.894234,Auto Garage,Shop & Service,4,1
Excel Sports Indoor Stadium,6.863684,79.899540,Stadium,Arts & Entertainment,5,1
Navinna Service Station,6.858114,79.911600,Car Wash,Shop & Service,1,1
captain Sports,6.857458,79.908242,Sporting Goods Shop,Shop & Service,1,1
Annamala Bawan,6.857124,79.908171,Road,Travel & Transport,2,1
Max Shine Car wash,6.862793,79.942570,Car Wash,Shop & Service,5,1
Replica Speed,6.860560,79.972389,Factory,Professional & Other Places,1,1
Mahabo Wewa,6.858450,79.985039,Lake,Outdoors & Recreation,2,1
NMMC,6.850690,79.869772,Motorcycle Shop,Shop & Service,7,1
Wedding Petals,6.848952,79.867470,Flower Shop,Shop & Service,1,1
The Stylists,6.849668,79.876610,Salon / Barbershop,Shop & Service,3,1
feather salon,6.849650,79.880031,Fair,Professional & Other Places,2,1
Medhankara temple,6.851732,79.875000,Spiritual Center,Professional & Other Places,7,1
Semeini Rathu Kekulu Bath Kade,6.849702,79.877390,Sri Lankan Restaurant,Food,1,1
wepan gallery - bat layer,6.849746,79.877495,Assisted Living,Residence,1,1
Sub Post Office Bellanwila,6.845335,79.890443,Post Office,Professional & Other Places,1,1
Dresspoint,6.854600,79.886986,Women's Store,Shop & Service,1,1
Pano Pharmacy,6.849439,79.882900,Health & Beauty Service,Shop & Service,1,1
Abiramy Car Care Centre,6.851516,79.894647,Car Wash,Shop & Service,1,1
Dulith Performance PLC,6.852683,79.895035,Non-Profit,Professional & Other Places,32,1
Sue Cakes,6.851404,79.894810,Bakery,Food,1,1
Abuldeniya Junction,6.851653,79.905495,General Travel,Travel & Transport,2,1
Department Of Zoology,6.853394,79.904727,College Science Building,College & University,4,1
Aehala wala,6.854503,79.905312,College Rec Center,College & University,1,1
Thusi Bodima,6.845677,79.907390,Residential Building (Apartment / Condo),Residence,3,1
Kasaya,6.853777,79.903508,Park,Outdoors & Recreation,1,1
Sky Electronics,6.847697,79.925610,Electronics Store,Shop & Service,1,1
Keells Super Pannipitiya,6.845302,79.942320,Market,Shop & Service,1,1
Acnet technology,6.844746,79.940689,Office,Professional & Other Places,29,1
Sharp Print Holdings,6.846188,79.942641,Warehouse,Professional & Other Places,15,1
ape kade sahal kade,6.845898,79.951591,Market,Shop & Service,6,1
People's bank,6.845533,79.946724,Bank,Shop & Service,1,1
Salon Pahasara,6.844528,79.950761,Salon / Barbershop,Shop & Service,1,1
Saman Motors,6.850178,79.981566,Auto Workshop,Shop & Service,1,1
Spicy Hut,6.852991,79.980451,Chinese Restaurant,Food,1,1
Sheraton Park,6.854253,79.981117,Housing Development,Residence,2,1
Salon Medhani,6.852883,79.986142,Bar,Nightlife Spot,6,1
Rainbow Aqua Lab,6.847760,80.118506,Factory,Professional & Other Places,2,1
grand muslim hotel,6.841092,79.867142,Asian Restaurant,Food,1,1
Dynamic Motor Works,6.842770,79.866790,Auto Workshop,Shop & Service,1,1
Holly's Resident,6.840019,79.881453,Residential Building (Apartment / Condo),Residence,4,1
Sportsman Tea,6.840444,79.876539,Factory,Professional & Other Places,1,1
Masonic Construction,6.841441,79.874496,Building,Professional & Other Places,2,1
Commercial Bank Attidiya,6.840612,79.884420,Bank,Shop & Service,1,1
Kings Revival Dehiwala Service,6.840405,79.897867,Church,Professional & Other Places,6,1
Wash king laundry,6.840425,79.895120,Laundry Service,Shop & Service,1,1
Boralesgamuwa Jummah Masjid,6.841377,79.904000,Mosque,Professional & Other Places,17,1
R J Residencies,6.843068,79.909620,Residential Building (Apartment / Condo),Residence,2,1
Boralesgamuwa Car Wash & Vacuum,6.841441,79.904680,Car Wash,Shop & Service,2,1
S & N Bridal Dress Maker,6.840907,79.901344,Bridal Shop,Shop & Service,2,1
S.H.G Hela Osu Hala,6.840735,79.901938,Pharmacy,Shop & Service,3,1
HNB ATM - Orient City,6.842849,79.913292,Bank,Shop & Service,3,1
Care Zone,6.844999,79.912965,Automotive Shop,Shop & Service,1,1
Den of Ravens,6.844945,79.912686,Residential Building (Apartment / Condo),Residence,22,1
LAUGFS Carcare Maharagama,6.842402,79.920720,Auto Workshop,Shop & Service,1,1
Cargills Bank,6.843179,79.923540,Bank,Shop & Service,2,1
siri Vijesiriwardhanaramaya,6.838050,79.949100,Buddhist Temple,Professional & Other Places,7,1
Bake Away,6.841903,79.964506,Bakery,Food,11,1
Laughs Supermarket,6.841869,79.963440,Shopping Mall,Shop & Service,2,1
Kumara Stores Kottawa,6.840503,79.964824,Clothing Store,Shop & Service,10,1
Weera Mawatha,6.837383,79.960236,Road,Travel & Transport,1,1
Salon Nayana Chandrarathne,6.839248,79.973464,Salon / Barbershop,Shop & Service,4,1
Green Digital Color Lab & Studio,6.840865,79.966640,Photography Lab,Shop & Service,1,1
Thilina Tailors,6.838835,79.979332,Tailor Shop,Shop & Service,1,1
Saloon U,6.839840,79.993463,Salon / Barbershop,Shop & Service,3,1
Samantha Tyre Traders,6.840297,79.995909,Automotive Shop,Shop & Service,1,1
Central Finance PLC Homagama,6.837378,79.998654,Financial or Legal Service,Shop & Service,2,1
BATA Rathmalana,6.836246,79.991183,Warehouse,Professional & Other Places,4,1
Link Apparel Exporters (Pvt) Ltd,6.840826,79.998853,Factory,Professional & Other Places,1,1
NSB Homagama,6.840296,79.995972,Bank,Shop & Service,1,1
akarawita lane,6.842052,80.002078,Neighborhood,Outdoors & Recreation,41,1
